Date,Open,High,Low,Close,Adj Close,Volume
2020-08-06,1476.150024,1506.27002,1471.900024,1504.949951,1504.949951,1665300
2020-08-07,1509.040039,1520.089966,1486.27002,1498.369995,1498.369995,1385900
2020-08-10,1490.800049,1507.150024,1477.48999,1496.819946,1496.819946,1027300
2020-08-11,1494,1510.439941,1478.189941,1480.540039,1480.540039,1554900
2020-08-12,1487.119995,1511.670044,1485,1507.23999,1507.23999,1126600
2020-08-13,1508.209961,1536.969971,1508.209961,1516.650024,1516.650024,1119400
2020-08-14,1513.609985,1519.790039,1499,1504.630005,1504.630005,1097100
2020-08-17,1515.969971,1523.780029,1505,1516.23999,1516.23999,999500
2020-08-18,1526.119995,1557.369995,1521.670044,1555.780029,1555.780029,1418900
2020-08-19,1552.48999,1568.859985,1540,1544.609985,1544.609985,1523600
2020-08-20,1539.969971,1580.170044,1534.459961,1576.25,1576.25,1319100
2020-08-21,1571.800049,1591.880005,1562.310059,1575.569946,1575.569946,1741900
2020-08-24,1592.469971,1608.780029,1575.040039,1585.150024,1585.150024,1281900
2020-08-25,1580.099976,1608.880005,1577.880005,1605.849976,1605.849976,1257500
2020-08-26,1606.300049,1652.790039,1600.97998,1644.130005,1644.130005,2609400
2020-08-27,1646.609985,1647.98999,1618.810059,1628.52002,1628.52002,1567500
2020-08-28,1629.469971,1641.349976,1625.609985,1639.430054,1639.430054,1120900
2020-08-31,1643.569946,1644.5,1625.329956,1629.530029,1629.530029,1321100
2020-09-01,1632.160034,1659.219971,1629.530029,1655.079956,1655.079956,1133800
2020-09-02,1668.01001,1726.099976,1660.189941,1717.390015,1717.390015,2476100
2020-09-03,1699.52002,1700,1607.709961,1629.51001,1629.51001,3186300
2020-09-04,1609,1634.98999,1537.969971,1581.209961,1581.209961,2792500
2020-09-08,1525,1555.550049,1516.5,1523.599976,1523.599976,2701600
2020-09-09,1548.900024,1558.719971,1525.170044,1547.22998,1547.22998,1962100
2020-09-10,1550.180054,1573.660034,1520,1526.050049,1526.050049,1651200
2020-09-11,1528.150024,1538.699951,1493.02002,1515.76001,1515.76001,1535300
2020-09-14,1531.650024,1557,1505.109985,1508.829956,1508.829956,2133000
2020-09-15,1527.890015,1550.98999,1522.099976,1535.119995,1535.119995,1152100
2020-09-16,1542.47998,1554.369995,1511.589966,1512.089966,1512.089966,1106400
2020-09-17,1485.810059,1498.660034,1462.459961,1487.040039,1487.040039,2000400
2020-09-18,1488.300049,1495.199951,1431.619995,1451.089966,1451.089966,3152800
2020-09-21,1431.619995,1440.060059,1402.680054,1430.140015,1430.140015,2845400
2020-09-22,1450.319946,1463.969971,1429.5,1459.819946,1459.819946,1697500
2020-09-23,1452.089966,1453.079956,1402.680054,1409.390015,1409.390015,1886300
2020-09-24,1402.680054,1437.98999,1402.150024,1422.859985,1422.859985,1727600
2020-09-25,1425.050049,1445.939941,1407.680054,1439.060059,1439.060059,1516300
2020-09-28,1471.98999,1472.98999,1446.280029,1458.660034,1458.660034,1539200
2020-09-29,1463.910034,1472,1454,1466.02002,1466.02002,1590800
2020-09-30,1460.939941,1486.199951,1455.76001,1465.599976,1465.599976,2046200
2020-10-01,1483.660034,1495.069946,1476.800049,1487.900024,1487.900024,1644200
2020-10-02,1459.630005,1479.030029,1447.349976,1455.599976,1455.599976,1561100
2020-10-05,1462.650024,1484.699951,1460.089966,1482.829956,1482.829956,1080100
2020-10-06,1475.5,1484.52002,1445.01001,1451.02002,1451.02002,1304800
2020-10-07,1459.310059,1468.969971,1433.22998,1459.140015,1459.140015,1805400
2020-10-08,1465.449951,1488.030029,1465.449951,1483.430054,1483.430054,1303800
2020-10-09,1492.859985,1511.849976,1487,1510.449951,1510.449951,1648300
2020-10-12,1538,1588.420044,1529.300049,1564.589966,1564.589966,2767200
2020-10-13,1577.01001,1585.160034,1558.630005,1567.069946,1567.069946,1953600
2020-10-14,1574.599976,1583.849976,1545.900024,1563.439941,1563.439941,1659200
2020-10-15,1544.5,1571.400024,1541.130005,1555.469971,1555.469971,1560500
2020-10-16,1561.829956,1577.709961,1557.660034,1567.699951,1567.699951,1709700
2020-10-19,1575.930054,1583.930054,1522.920044,1529.949951,1529.949951,1486700
2020-10-20,1523.109985,1573.839966,1520.5,1551.079956,1551.079956,2083500
2020-10-21,1569.849976,1615.140015,1567.140015,1585.98999,1585.98999,3016100
2020-10-22,1585,1613.420044,1577.47998,1606.660034,1606.660034,1525600
2020-10-23,1615.050049,1634.119995,1611.910034,1632.97998,1632.97998,1527400
2020-10-26,1615,1629.579956,1567.780029,1584.290039,1584.290039,1791300
2020-10-27,1588.930054,1602,1576.98999,1598.880005,1598.880005,1295100
2020-10-28,1550.01001,1553.810059,1508.47998,1510.800049,1510.800049,2258700
2020-10-29,1517.02002,1588.73999,1516.550049,1556.880005,1556.880005,2770300
2020-10-30,1667.439941,1681.319946,1601.569946,1616.109985,1616.109985,4993900
2020-11-02,1623.540039,1658.23999,1614.23999,1624.319946,1624.319946,2211400
2020-11-03,1630.76001,1659,1612.109985,1645.660034,1645.660034,1571600
2020-11-04,1705.579956,1770.030029,1703,1745.849976,1745.849976,3567100
2020-11-05,1770.449951,1791.819946,1741.030029,1762.5,1762.5,1987900
2020-11-06,1751.339966,1768.5,1736.680054,1759.72998,1759.72998,1431100
2020-11-09,1795.97998,1816.890015,1757.550049,1761.420044,1761.420044,2672000
2020-11-10,1729.77002,1759.380005,1716.119995,1737.719971,1737.719971,2151100
2020-11-11,1748.400024,1762.900024,1743.060059,1747.22998,1747.22998,1591900
2020-11-12,1742,1764.97998,1737.969971,1742.819946,1742.819946,1323700
2020-11-13,1748,1777.130005,1735.97998,1772.26001,1772.26001,1487200
2020-11-16,1764.140015,1794.339966,1761.329956,1774.030029,1774.030029,1273400
2020-11-17,1767.859985,1777.140015,1759.48999,1761.660034,1761.660034,1065700
2020-11-18,1756.640015,1765,1738.569946,1740.640015,1740.640015,1005400
2020-11-19,1733.22998,1763.48999,1730.02002,1758.569946,1758.569946,1005300
2020-11-20,1762,1768.359985,1735,1736.380005,1736.380005,1384700
2020-11-23,1740.219971,1745.98999,1710.180054,1727.560059,1727.560059,1126500
2020-11-24,1727.5,1766.47998,1720.72998,1763.900024,1763.900024,1399200
2020-11-25,1767.810059,1770.380005,1748.359985,1764.130005,1764.130005,980000
2020-11-27,1764.540039,1797.01001,1764.540039,1787.02002,1787.02002,739500
2020-11-30,1775.650024,1780.339966,1747.839966,1754.400024,1754.400024,1620900
2020-12-01,1766.660034,1821.719971,1763.030029,1795.359985,1795.359985,1868100
2020-12-02,1795.359985,1832.73999,1785.170044,1824.969971,1824.969971,1471200
2020-12-03,1820.540039,1843.829956,1817,1821.839966,1821.839966,1236400
2020-12-04,1820.219971,1829.5,1813.589966,1823.76001,1823.76001,1027200
2020-12-07,1815.550049,1829.290039,1803.040039,1817.030029,1817.030029,1114400
2020-12-08,1808.52002,1815.969971,1791.280029,1811.329956,1811.329956,996800
2020-12-09,1810.359985,1828.369995,1762,1777.859985,1777.859985,1586400
2020-12-10,1762.599976,1774.98999,1733.530029,1767.650024,1767.650024,1434400
2020-12-11,1760,1777.310059,1752.73999,1774.800049,1774.800049,931400
2020-12-14,1770.719971,1789.800049,1749.130005,1752.26001,1752.26001,1652500
2020-12-15,1759.859985,1764,1741.670044,1761.079956,1761.079956,1068300
2020-12-16,1769.109985,1769.109985,1749.060059,1757.189941,1757.189941,1233800
2020-12-17,1763.930054,1766.709961,1731.150024,1740.51001,1740.51001,1744000
2020-12-18,1746.170044,1748.359985,1715,1726.219971,1726.219971,4262800
2020-12-21,1709.130005,1737,1694,1734.560059,1734.560059,1698700
2020-12-22,1729.329956,1732.609985,1705.780029,1720.219971,1720.219971,1018500
2020-12-23,1723.930054,1744.109985,1721.199951,1728.22998,1728.22998,1148700
2020-12-24,1729,1742.410034,1724.349976,1734.160034,1734.160034,465600
2020-12-28,1744.910034,1787,1741.819946,1773.959961,1773.959961,1382500
2020-12-29,1787.22998,1788.469971,1755.109985,1757.76001,1757.76001,986300
2020-12-30,1765,1767.76001,1728,1736.25,1736.25,1051300
2020-12-31,1737.27002,1757.5,1736.089966,1752.640015,1752.640015,1053500
